samples	Lat	Lon	MAG_001	MAG_002	MAG_003	MAG_004	MAG_005
Metagenome_25	-47.21	-58.06	0.019432523	0.000132105	0.001884701	0.000445308	6.98E-05
Metagenome_26	20.82	63.5	0.002671375	0.069058415	1.28E-06	0.003136289	1.86E-05
Metagenome_27	20.82	63.51	0.009678449	0.076768164	3.31E-06	0.003536238	2.75E-05
Metagenome_28	19.04	64.49	0.015797653	0.113358752	3.53E-07	0.001954371	2.20E-05
Metagenome_29	19.03	64.62	0.036935921	0.01652973	1.05E-06	0.000722723	0.000113301
Metagenome_30	18.57	66.49	0.117921	0.032098844	3.17E-07	0.001914799	2.29E-05
Metagenome_31	14.6	69.98	0.000641776	0.000942499	9.42E-07	0.006398415	2.77E-05
Metagenome_32	14.56	70.01	0.008148098	0.020913509	7.29E-07	0.000451566	0.000283393
Metagenome_33	6.03	73.89	7.42E-05	0.000440742	4.07E-07	0.003419715	2.64E-05
Metagenome_34	6	73.9	0.0006202	0.000559861	4.97E-07	7.55E-05	0.000353444
Metagenome_35	0	71.64	0.000115026	0.000127533	1.81E-07	0.007886388	2.54E-05
Metagenome_36	-9.39	66.42	6.61E-05	0.000239547	1.16E-06	0.003930249	3.57E-05
Metagenome_37	-16.96	53.99	6.69E-05	0.000903244	8.92E-07	0.001516965	2.81E-05
Metagenome_38	-16.96	54.01	5.53E-05	0.002754699	1.78E-07	0.000222354	0.000183804
Metagenome_39	-15.34	43.29	0.008096534	0.000941249	9.64E-07	0.001418543	4.54E-05
Metagenome_40	-17.02	42.74	0.320613193	0.003446889	2.49E-06	0.001119601	8.23E-05
Metagenome_41	-17.32	42.29	0.027660793	0.014275956	3.01E-06	0.002545541	5.92E-05
Metagenome_42	-21.38	39.56	0.107948266	0.023828332	1.05E-05	0.001968545	5.59E-05
Metagenome_43	-29.5	37.99	0.428204264	0.009223463	3.01E-07	0.001173578	0.000813952
Metagenome_44	-29.54	37.94	1.313321223	0.005936835	6.50E-07	0.0005166	0.001162035
Metagenome_45	-35.19	26.29	0.299676522	0.009450332	4.23E-07	0.000812991	0.001418297
Metagenome_46	-35.25	26.31	0.364196259	0.009715068	3.37E-06	0.000619138	0.001540333
Metagenome_47	35.76	14.26	0.000462622	0.00060776	4.70E-06	0.000617689	0.014008025
Metagenome_48	35.76	14.25	0.000600515	0.000764318	8.37E-06	0.001043669	0.013644992
Metagenome_49	42.21	17.71	0.000276817	5.78E-05	0.00012349	0.000303782	0.002603415
Metagenome_50	39.39	19.39	0.000234186	1.58E-05	0.000114544	0.000159212	0.001653101
Metagenome_51	39.41	19.38	0.000502488	7.80E-05	4.83E-05	0.000541362	0.028098799
Metagenome_52	33.92	32.89	0.000139341	3.93E-05	2.77E-06	0.000249813	8.90E-05
Metagenome_53	33.93	32.77	6.57E-05	4.29E-05	8.29E-06	0.000481555	0.000862467
Metagenome_54	31.52	-159	0.000253665	0.000132907	7.69E-07	0.006194233	5.43E-05
Metagenome_55	35.41	-127.74	0.000155259	4.63E-05	0.00038262	0.008030299	0.000202878
Metagenome_56	35.42	-127.69	0.00049784	0.000336875	0.000559743	0.000511389	0.000210611
Metagenome_57	14.2	-116.63	0.000158645	0.00708829	4.64E-07	0.002128279	2.74E-05
Metagenome_58	14.17	-116.71	2.16E-05	1.75E-05	2.08E-05	2.27E-05	4.20E-05
Metagenome_59	6.33	-102.94	0.00022893	0.000648579	5.99E-07	0.009622062	1.95E-05
Metagenome_60	6.34	-102.98	0.000297454	0.000611346	1.12E-06	0.000191612	0.002615295
Metagenome_61	7.41	-79.3	0.034876473	0.020112436	5.15E-06	0.004816333	1.41E-05
Metagenome_62	-12.99	-95.99	9.06E-05	5.73E-05	6.60E-07	0.027517686	2.85E-05
Metagenome_63	-12.99	-95.99	0.000114393	0.000320998	3.72E-06	0.006546504	0.016445775
Metagenome_64	-5.25	-85.16	0.000198655	0.003063482	7.20E-07	0.009924424	2.23E-05
Metagenome_65	-5.27	-85.23	0.000115436	0.001116237	3.17E-06	0.001131708	4.53E-05
Metagenome_66	1.99	-84.58	0.000197586	0.01240845	3.94E-07	0.023355612	2.33E-05
Metagenome_67	2.08	-84.52	0.000320202	0.007314227	4.82E-07	0.016699203	2.63E-05
Metagenome_68	-2.01	-84.59	0.000319707	0.014816458	5.58E-07	0.017676353	5.33E-05
Metagenome_69	-1.84	-84.63	0.000341096	0.033212196	5.59E-06	0.008662364	0.000165171
Metagenome_70	-16.96	-100.63	0.000463659	0.000189194	2.75E-07	0.00532625	0.000146088
Metagenome_71	-16.96	-100.7	0.000301917	0.000263075	5.81E-07	0.001271856	0.020992441
Metagenome_72	-34.05	-73.08	1.85E-05	3.82E-06	0.455480384	0.001069271	2.39E-05
Metagenome_73	-33.88	-73.05	1.17E-05	8.09E-06	0.096440359	0.002052908	2.79E-05
Metagenome_74	-32.78	-87.09	8.83E-05	1.62E-05	0.000307003	0.011087631	0.000140717
Metagenome_75	-29.72	-101.16	0.000273406	0.000166991	5.74E-06	0.001350541	9.47E-05
Metagenome_76	-25.83	-111.78	0.000255925	4.06E-05	1.36E-06	0.003190789	8.27E-05
Metagenome_77	-21.15	-104.79	0.000222063	0.000160248	6.83E-07	0.017935595	0.000112412
Metagenome_78	-23.28	-129.4	0.001826824	0.000207066	8.43E-08	0.000504613	0.000101681
Metagenome_79	-8.99	-139.21	0.000346427	0.000442809	1.69E-07	0.03859448	3.98E-05
Metagenome_80	-8.91	-140.28	0.001403232	0.001349569	1.83E-06	0.002900752	4.55E-05
Metagenome_81	-9.11	-140.58	0.000387919	0.000303878	2.10E-06	0.012286832	5.08E-05
Metagenome_82	-8.91	-142.56	0.000285343	0.000121071	6.41E-07	0.018611573	2.95E-05
Metagenome_83	0	-153.68	0.000946993	0.0006558	2.55E-06	0.03030056	4.24E-05
Metagenome_84	0	-153.68	0.000341574	0.000433478	2.04E-06	0.019915082	3.38E-05
Metagenome_85	27.16	34.83	0.073997423	0.006657299	3.53E-06	0.011929409	0.000120017
Metagenome_86	23.36	37.22	0.05245986	0.023145599	0	0.013357702	4.67E-05
Metagenome_87	23.38	37.29	0.25802294	0.001961803	3.83E-06	0.000116245	0.00060994
Metagenome_88	21.98	38.24	0.172439447	0.075254731	2.20E-06	0.00108826	5.74E-05
Metagenome_89	18.4	39.88	0.413445069	0.132939091	0	0.000925152	3.90E-05
Metagenome_90	18.4	39.86	0.002117774	0.000145331	1.05E-06	1.99E-05	0.000208629
Metagenome_91	-60.23	-60.65	0.000406627	2.30E-07	3.60E-05	0.000168572	7.33E-05
Metagenome_92	-62.03	-49.54	0.000287149	5.63E-07	2.73E-05	6.38E-05	6.69E-05
Metagenome_93	-62.24	-49.18	0.000404785	1.79E-06	2.47E-05	0.000240155	7.80E-05
